Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Dale Stephens,6.0,England,31.0,0.18215613382899626,24,45,0.0,0.01,0.0,0.0,1.0,0.0,0.0,49.0,5.0,10%,1.0,0.0,,,261.0,63%,,16.0,167.0,152.0,90.0,,724.0,402.0,445.0,35.0,73.0,75.0,,0.0,0.04819277108433735,0.2668005130779098,48.33,4.0,6.0,17%,7.0,381.0,,,,,,,,,20,1,136,0.0,2,3
Yves Bissouma,8.0,Mali,24.0,0.09479553903345724,13,26,0.0,0.02,0.0,1.0,0.0,0.0,0.0,51.0,10.0,20%,1.0,2.0,,,115.0,63%,,11.0,57.0,48.0,23.0,,239.0,285.0,261.0,79.0,48.0,49.0,,1.0,0.09747423428654378,0.08030784674585913,27.71,1.0,14.0,21%,6.0,74.0,,,,,,,,,9,1,74,2.0,2,3
Alexis Mac Allister,10.0,Argentina,21.0,0.01486988847583643,3,2,0.06814937525333523,9.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14%,0.0,1.0,,,9.0,56%,,3.0,1.0,1.0,0.0,,15.0,17.0,22.0,2.0,3.0,5.0,,0.0,0.09747423428654378,0.005409625787741899,10.89,0.0,23.0,13%,0.0,2.0,,,,,,,,,0,0,4,1.0,2,3
Pascal Groß,13.0,Germany,29.0,0.17100371747211895,20,42,0.061452513966480445,0.13,2.0,9.0,1.0,2.0,1.0,97.0,38.0,39%,1.0,3.0,,,101.0,50%,,29.0,37.0,48.0,15.0,,313.0,216.0,387.0,21.0,49.0,123.0,,0.0,0.1686746987951807,0.16373877642072387,31.58,35.0,522.0,31%,17.0,166.0,,,,,,,,,7,0,67,22.0,2,3
Adam Lallana,14.0,England,32.0,0.3661710037174721,98,50,0.16201117318435757,0.15,1.0,12.0,15.0,0.0,0.0,274.0,96.0,35%,8.0,24.0,,,322.0,75%,,91.0,166.0,126.0,49.0,,839.0,886.0,1078.0,209.0,120.0,249.0,,0.0,0.32530120481927716,0.3572583793430372,32.36,25.0,489.0,20%,47.0,146.0,,,,,,,,,17,0,142,57.0,2,3
Solly March,20.0,England,26.0,0.1691449814126394,21,42,0.00558659217877095,0.02,1.0,0.0,1.0,0.0,0.0,93.0,26.0,28%,2.0,4.0,,,140.0,56%,,31.0,62.0,66.0,24.0,,345.0,372.0,456.0,116.0,52.0,124.0,,0.0,0.07228915662650603,0.10986559589537673,21.42,13.0,329.0,23%,3.0,100.0,,,,,,,,,6,0,70,15.0,2,3
Davy Pröpper,24.0,Netherlands,29.0,0.18401486988847582,24,44,0.00558659217877095,0.02,1.0,1.0,0.0,0.0,0.0,80.0,15.0,19%,2.0,6.0,,,187.0,57%,,22.0,151.0,134.0,54.0,,673.0,456.0,472.0,112.0,112.0,89.0,,2.0,0.07228915662650603,0.24443700853270872,43.84,7.0,67.0,15%,7.0,258.0,,,,,,,,,8,1,105,3.0,2,3
Steven Alzate,17.0,Colombia,22.0,0.03717472118959108,6,9,0.06814937525333523,21.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,27%,0.0,1.0,,,34.0,,,7.0,15.0,13.0,11.0,,,,,,,,,,0.09747423428654378,0.037923149852211256,32.43,0.0,8.0,,,,,,,,,,,,1,0,21,3.0,2,3
Max Sanders,41.0,England,21.0,0.15000115929483956,0,0,0.06814937525333523,0.0,0.0,0.0,0.0,0.0,0.0,119.5245283018868,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,3
Jayson Molumby,49.0,Ireland,21.0,0.15000115929483956,0,0,0.06814937525333523,0.0,0.0,0.0,0.0,0.0,0.0,119.5245283018868,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,3
