Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Muhamed Besic,30.0,Bosnia And Herzegovina,28.0,46.0,14,17,1.148846721304978e-16,46.0,0.0,0.0,0.0,0.0,0.0,-0.9175293079852156,7.0,27%,1.0,0.0,,,93.0,76%,,7.0,34.0,56.0,26.0,,154.0,186.0,165.0,53.0,21.0,16.0,,1.0,9.090361445783133,-0.47616041741046683,29.11,2.0,18.0,22%,3.0,116.0,,,,,,,,,11,0,42,0.0,6,3
Sandro Ramírez,28.0,Spain,25.0,8.0,2,4,1.148846721304978e-16,8.0,0.0,0.0,0.0,0.0,0.0,-1.0843090663968278,1.0,11%,0.0,0.0,,,2.0,,,3.0,1.0,0.0,0.0,,,,,,,,,,9.090361445783133,-0.9010786634770425,10.25,0.0,6.0,,,,,,,,,,,,0,0,1,1.0,6,1
Yannick Bolasie,29.0,The Democratic Republic Of Congo,31.0,119.0,38,51,-0.14220189783850612,0.09,1.0,8.0,2.0,0.0,0.0,0.9759114786877934,72.0,33%,8.0,8.0,,,151.0,,,55.0,48.0,107.0,58.0,,,,,,,,,,17.0,-0.21079778959641596,17.85,25.0,595.0,,,,,,,,,,,,9,1,140,46.0,6,1
Richarlison,7.0,Brazil,23.0,111.0,41,47,1.1512845186552225,0.28,7.0,12.0,11.0,0.0,0.0,1.5743564941647548,85.0,30%,7.0,28.0,,,190.0,,,80.0,53.0,109.0,79.0,,,,,,,,,,10.0,-0.09992015657347496,22.09,22.0,158.0,,,,,,,,,,,,17,1,114,56.0,6,1
Dominic Calvert-Lewin,9.0,England,23.0,116.0,43,46,0.9572615561811633,0.24,12.0,12.0,4.0,0.0,0.0,0.7404577021066938,77.0,39%,4.0,31.0,,,42.0,,,37.0,29.0,85.0,66.0,,,,,,,,,,9.0,-0.39198806795097807,13.69,9.0,47.0,,,,,,,,,,,,17,0,138,36.0,6,1
Theo Walcott,11.0,England,31.0,346.0,176,93,3.9969546349414258,0.22,3.0,60.0,12.0,0.0,0.0,4.870709366300148,267.0,43%,18.0,79.0,,,214.0,,,141.0,149.0,81.0,29.0,,,,,,,,,,51.0,0.9273881567092009,15.87,61.0,952.0,,,,,,,,,,,,10,0,101,163.0,6,1
Cenk Tosun,14.0,Turkey,29.0,49.0,14,19,-0.20687621866319253,0.2,5.0,3.0,2.0,0.0,0.0,-0.4760534768956539,30.0,42%,0.0,6.0,,,23.0,,,12.0,6.0,16.0,11.0,,,,,,,,,,3.0,-0.7195503435583861,12.63,4.0,15.0,,,,,,,,,,,,3,0,50,19.0,6,1
Alex Iwobi,17.0,Nigeria,24.0,126.0,59,41,-0.07752757701381967,0.1,2.0,9.0,1.0,0.0,0.0,0.36765588918661946,65.0,41%,4.0,10.0,,,99.0,,,46.0,44.0,33.0,15.0,,,,,,,,,,16.0,0.3966629010810992,31.12,23.0,151.0,,,,,,,,,,,,2,0,42,6.0,6,1
Bernard,20.0,Brazil,28.0,61.0,23,23,-0.5949221436113111,0.07,0.0,4.0,0.0,0.0,0.0,-0.8292341417673033,10.0,29%,2.0,5.0,,,81.0,,,14.0,43.0,19.0,4.0,,,,,,,,,,5.0,-0.47379412646180646,22.07,7.0,87.0,,,,,,,,,,,,7,0,36,2.0,6,1
Moise Kean,27.0,Italy,20.0,31.0,9,13,-0.724270785260684,0.06,0.0,2.0,0.0,0.0,0.0,-0.8684764378641532,13.0,42%,0.0,4.0,,,6.0,,,5.0,5.0,1.0,1.0,,,,,,,,,,2.0,-0.8845146268364202,4.23,5.0,14.0,,,,,,,,,,,,1,0,28,4.0,6,1
Anthony Gordon,24.0,England,19.0,11.0,3,4,1.148846721304978e-16,11.0,0.0,0.0,0.0,0.0,0.0,-1.1137407884694652,1.0,17%,0.0,0.0,,,11.0,,,2.0,8.0,1.0,0.0,,,,,,,,,,1.0,-0.8905993749901182,10.27,0.0,7.0,,,,,,,,,,,,0,0,10,1.0,6,1
Marek Rodák,12.0,Slovakia,23.0,1.0,0,1,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,-0.9203470326304195,25.0,,,,,8.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0,0,0,,7,2
Fabri,31.0,Spain,32.0,2.0,0,2,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,0.0,5.0,,,,,,,,,,,,,,,0.0,1.0,9.090361445783133,-0.9129101182203442,23.5,,,,,16.0,16.0,0.0,0.0,1.0,1.0,3.0,14.0,14.0,0,0,0,,7,2
Alphonse Areola,1.0,France,27.0,1.0,0,1,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,0.0,4.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,-0.9189948663740422,29.0,,,,,4.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0,0,0,,7,2
